frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
63,2.1058,Midnight 00:00,0.1,1,-0.3648,0.004,2.58917,0.58917,-0.3648,-0.996,3.13678,-0.0002,-0.16185,625.0,5.047
64,2.1393,Midnight 00:00,0.1,1,-0.39279,0.004,2.59014,0.59014,-0.39279,-0.996,3.12111,-0.00038,-0.35015,600.0,5.056
65,2.1727,Midnight 00:00,0.1,1,-0.39279,0.004,2.59014,0.59014,-0.39279,-0.996,3.12111,-0.00038,-0.35015,600.0,5.056
66,2.2061,Midnight 00:00,0.1,1,-0.40062,0.004,2.59011,0.59011,-0.40062,-0.996,3.12143,-0.00038,-0.34741,600.0,5.053
67,2.2396,Midnight 00:00,0.1,1,-0.41628,0.004,2.59005,0.59005,-0.41628,-0.996,3.12204,-0.00038,-0.34204,600.0,5.062
68,2.273,Midnight 00:00,0.1,1,-0.42742,0.004,2.58893,0.58893,-0.42742,-0.996,3.13755,-0.00019,-0.14802,625.0,5.041
69,2.3064,Midnight 00:00,0.1,1,-0.43977,0.004,2.58996,0.58996,-0.43977,-0.996,3.12292,-0.00037,-0.3342,600.0,5.057
70,2.3398,Midnight 00:00,0.1,1,-0.46656,0.004,2.5888,0.5888,-0.46656,-0.996,3.13795,-0.00018,-0.14032,625.0,5.045
71,2.3733,Midnight 00:00,0.1,1,-0.46656,0.004,2.5888,0.5888,-0.46656,-0.996,3.13795,-0.00018,-0.14032,625.0,5.045
72,2.4067,Midnight 00:00,0.1,1,-0.47891,0.004,2.58981,0.58981,-0.47891,-0.996,3.12428,-0.00037,-0.3217,600.0,5.057
73,2.4401,Midnight 00:00,0.1,1,-0.49004,0.004,2.58872,0.58872,-0.49004,-0.996,3.13817,-0.00018,-0.13602,625.0,5.048
74,2.4735,Midnight 00:00,0.1,1,-0.50239,0.004,2.58973,0.58973,-0.50239,-0.996,3.12503,-0.00036,-0.31453,600.0,5.054
75,2.507,Midnight 00:00,0.1,1,-0.51805,0.004,2.58968,0.58968,-0.51805,-0.996,3.12552,-0.00036,-0.30988,600.0,5.054
76,2.5404,Midnight 00:00,0.1,1,-0.52918,0.004,2.58861,0.58861,-0.52918,-0.996,3.13849,-0.00017,-0.12932,625.0,5.038
77,2.5738,Midnight 00:00,0.1,1,-0.54153,0.004,2.5896,0.5896,-0.54153,-0.996,3.12621,-0.00036,-0.3031,600.0,5.053
78,2.6072,Midnight 00:00,0.1,1,-0.55719,0.004,2.58955,0.58955,-0.55719,-0.996,3.12665,-0.00035,-0.29871,600.0,5.045
79,2.6407,Midnight 00:00,0.1,1,-0.56832,0.004,2.58852,0.58852,-0.56832,-0.996,3.13878,-0.00017,-0.12316,625.0,5.04
80,2.6741,Midnight 00:00,0.1,1,-0.58067,0.004,2.58948,0.58948,-0.58067,-0.996,3.12728,-0.00035,-0.2923,600.0,5.052
81,2.7075,Midnight 00:00,0.1,1,-0.59181,0.004,2.58846,0.58846,-0.59181,-0.996,3.13893,-0.00016,-0.1197,625.0,5.04
82,2.7409,Midnight 00:00,0.1,1,-0.60415,0.004,2.58941,0.58941,-0.60415,-0.996,3.12787,-0.00035,-0.28609,600.0,5.046
83,2.7744,Midnight 00:00,0.1,1,-0.61981,0.004,2.58936,0.58936,-0.61981,-0.996,3.12825,-0.00034,-0.28207,600.0,5.047
84,2.8078,Midnight 00:00,0.1,1,-0.62832,0.00423,2.58477,0.58477,-0.62832,-0.99577,-3.07446,0.00385,0.20373,612.5,5.037
85,2.8412,Midnight 00:00,0.1,1,-0.64329,0.004,2.5893,0.5893,-0.64329,-0.996,3.1288,-0.00034,-0.2762,600.0,5.047
86,2.8747,Midnight 00:00,0.1,1,-0.65443,0.004,2.58834,0.58834,-0.65443,-0.996,3.13929,-0.00015,-0.11125,625.0,5.039
87,2.9081,Midnight 00:00,0.1,1,-0.66677,0.004,2.58924,0.58924,-0.66677,-0.996,3.12931,-0.00034,-0.27053,600.0,5.04
88,2.9415,Midnight 00:00,0.1,1,-0.68243,0.004,2.5892,0.5892,-0.68243,-0.996,3.12964,-0.00033,-0.26685,600.0,5.046
