frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
53,3.5333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.453
54,3.6,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.463
55,3.6667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.438
56,3.7333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.452
57,3.8,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.447
58,3.8667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.451
59,3.9333,Midnight 00:00,real-world,0.1,1,-0.18284,0.06062,2.35619,0.35619,-0.18284,-0.93938,3.09422,-0.06955,0.44824,6136.5,5.403
60,4.0,Midnight 00:00,real-world,0.1,1,-0.20456,0.05807,2.33997,0.33997,-0.20456,-0.94193,3.0141,-0.05151,0.54237,6129.0,5.405
61,4.0667,Midnight 00:00,real-world,0.1,1,-0.22155,0.05797,2.3347,0.3347,-0.22155,-0.94203,3.02003,-0.0704,0.58068,6135.5,5.362
62,4.1333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.389
63,4.2,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.409
64,4.2667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.436
65,4.3333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.438
66,4.4,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.449
67,4.4667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454
68,4.5333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.419
69,4.6,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423
70,4.6667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421
71,4.7333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421
72,4.8,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49
73,4.8667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.515
74,4.9333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.526
75,5.0,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.571
76,5.0667,Midnight 00:00,real-world,0.1,1,-0.51073,0.06084,2.27213,0.27213,-0.51073,-0.93916,3.01282,-0.02733,0.79274,6604.0,5.598
77,5.1333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.577
78,5.2,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622
79,5.2667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.586
80,5.3333,Midnight 00:00,real-world,0.1,1,-0.58992,0.051,2.23629,0.23629,-0.58992,-0.949,3.2244,-0.02831,0.6919,6980.0,5.573
81,5.4,Midnight 00:00,real-world,0.1,1,-0.61111,0.0516,2.27954,0.27954,-0.61111,-0.9484,2.97667,-0.09812,0.67577,6787.0,5.598
82,5.4667,Midnight 00:00,real-world,0.1,1,-0.6091,0.05105,2.25055,0.25055,-0.6091,-0.94895,2.88358,-0.09286,0.51988,6936.0,5.619
83,5.5333,Midnight 00:00,real-world,0.1,1,-0.61925,0.04965,2.25889,0.25889,-0.61925,-0.95035,-2.95252,0.05172,-0.51621,6949.5,5.584
84,5.6,Midnight 00:00,real-world,0.1,1,-0.62192,0.04759,2.25368,0.25368,-0.62192,-0.95241,-3.17532,0.10266,-0.17308,6996.0,5.61
85,5.6667,Midnight 00:00,real-world,0.1,1,-0.61803,0.04413,2.22822,0.22822,-0.61803,-0.95587,2.96434,-0.11849,0.30473,7161.0,5.586
86,5.7333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.615
87,5.8,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622
88,5.8667,Midnight 00:00,real-world,0.1,1,-0.62166,0.04155,2.23103,0.23103,-0.62166,-0.95845,-3.21239,0.11646,-0.17112,7123.5,5.608
89,5.9333,Midnight 00:00,real-world,0.1,1,-0.61857,0.0424,2.22684,0.22684,-0.61857,-0.9576,3.0826,-0.09107,0.62507,7208.5,5.583
90,6.0,Midnight 00:00,real-world,0.1,1,-0.62569,0.04155,2.23288,0.23288,-0.62569,-0.95845,3.04834,-0.12107,0.1894,7129.5,5.61
91,6.0667,Midnight 00:00,real-world,0.1,1,-0.62288,0.03666,2.21946,0.21946,-0.62288,-0.96334,2.90914,-0.10187,0.44771,7191.5,5.589
92,6.1333,Midnight 00:00,real-world,0.1,1,-0.63322,0.02518,2.24698,0.24698,-0.63322,-0.97482,-3.24771,0.0872,-0.68009,6973.5,5.567
93,6.2,Midnight 00:00,real-world,0.1,1,-0.63801,-0.00448,2.24798,0.24798,-0.63801,-1.00448,-2.86191,0.00925,-0.48488,6933.5,5.601
94,6.2667,Midnight 00:00,real-world,0.1,1,-0.64468,-0.04359,2.26384,0.26384,-0.64468,-1.04359,-2.7743,-0.05164,-0.3606,6669.0,5.586
95,6.3333,Midnight 00:00,real-world,0.1,1,-0.66271,-0.09589,2.29169,0.29169,-0.66271,-1.09589,2.95515,-0.05375,0.52633,6761.0,5.589
